drug1,drug2,text,label
Glasmacinal,Verapamil,glasmacinal may be a victim of selected drugs that impact CYP3A4 and/or P-gp but is unlikely to be a perpetrator of clinically relevant DDIs,1
metabolic inducers,CYP3A substrates,victims with metabolic inducers (71.7%),1
metabolic inducers,victims,victims with metabolic inducers (71.7%),0
CYP3A substrates,metabolic inducers,CYP3A substrates (55.6%),1
CYP3A perpetrators,victims with CYP3A substrates,CYP3A perpetrators (29.3%),0
acid reducers,victims,victims with acid reducers (17.2%),0
CYP3A perpetrators,CYP3A substrates,most commonly involving OADs acting as CYP3A (58.9%) or CYP2D6 (32.5%) perpetrators,0
CYP2D6 perpetrators,CYP2D6 substrates,most commonly involving OADs acting as CYP3A (58.9%) or CYP2D6 (32.5%) perpetrators,0
mirtazapine,methamphetamine,"During the mirtazapine phase, participants reached methamphetamine peak plasma concentration 0.26 hours earlier than the placebo phase (p = 0.02)",1
mirtazapine,methadone,"Mirtazapine neither attenuated nor enhanced the expected cardiovascular effects of methamphetamine, including in participants receiving methadone maintenance therapy.",1
Ammoxetine (AMT),Quinidine,Quinidine inhibition of CYP2D6-mediated AMT metabolism,1
ritonavir,statins,"Among the 831 interacting medication lines, the main drug classes involved: statins (17.7%, 147/831)",1
ritonavir,immunosuppressants,"Among the 831 interacting medication lines, the main drug classes involved: immunosuppressants (12.0%, 100/831)",1
ritonavir,direct oral anticoagulants,"Among the 831 interacting medication lines, the main drug classes involved: direct oral anticoagulants (10.5%, 87/831)",1
nirmatrelvir boosted with ritonavir,statins,"Among the 429 eligible patients, 86.7% (372/429) had at least one clinically relevant drug interaction; 60.8% (261/429) had ≥ 2",1
nirmatrelvir boosted with ritonavir,immunosuppressants,"Among the 429 eligible patients, 86.7% (372/429) had at least one clinically relevant drug interaction; 60.8% (261/429) had ≥ 2",1
nirmatrelvir boosted with ritonavir,direct oral anticoagulants,"Among the 429 eligible patients, 86.7% (372/429) had at least one clinically relevant drug interaction; 60.8% (261/429) had ≥ 2",1
nirmatrelvir boosted with ritonavir,all medications,Nirmatrelvir boosted with ritonavir was ultimately contraindicated in 26 patients,1
zoliflodacin,itraconazole,"When zoliflodacin was co-administered with itraconazole at steady state, as determined by itraconazole trough plasma concentrations, zoliflodacin exposure increased as measured by peak concentration (Cmax)",1
pitolisant,hormonal contraceptives,known interactions of current treatments (e.g. pitolisant and modafinil) with hormonal contraceptives,1
modafinil,hormonal contraceptives,known interactions of current treatments (e.g. pitolisant and modafinil) with hormonal contraceptives,1
samelisant,orexin-based therapies,present an opportunity to complement orexin-based therapies,1
midazolam,fluconazole,The most frequent interacting drug pairs were midazolam + fluconazole,1
fluconazole,fentanyl,The most frequent interacting drug pairs were fluconazole + fentanyl,1
fentanyl,dexamethasone,"Not explicitly stated, but implied as a potential interaction",1
vancomycin,piperacillin,The most frequent interacting drug pairs were vancomycin + piperacillin,1
albendazole,10 drugs,In vitro results showed that 10 drugs inhibited albendazole metabolism by more than 80%,1
apatinib,albendazole,further to elaborate the inhibitory mechanism of apatinib on albendazole metabolism,1
CYP2D6 poor metabolisers (PM),Amitriptyline,dose reductions are advised for amitriptyline (reduction to 60% of the normal dose),1
CYP2D6 poor metabolisers (PM),Clomipramine,dose reductions are advised for clomipramine (reduction to 50% of the normal dose),1
CYP2D6 poor metabolisers (PM),Doxepin,dose reductions are advised for doxepin (reduction to 40% of normal dose),1
CYP2D6 poor metabolisers (PM),Imipramine,dose reductions are advised for imipramine,1
CYP2D6 poor metabolisers (PM),Nortriptyline,dose reductions are advised for nortriptyline,1
CYP2D6 intermediate metabolisers (IM),Amitriptyline,reduced dose is also recommended for amitriptyline (75%),1
CYP2D6 intermediate metabolisers (IM),Clomipramine,reduced dose is also recommended for clomipramine (70%),1
CYP2D6 intermediate metabolisers (IM),Doxepin,reduced dose is also recommended for doxepin (80%),1
CYP2D6 intermediate metabolisers (IM),Imipramine,reduced dose is also recommended for imipramine (70%),1
CYP2D6 intermediate metabolisers (IM),Nortriptyline,reduced dose is also recommended for nortriptyline (60%),1
CYP2D6 ultra-rapid metabolisers (UM),Amitriptyline,require tailored dose adjustments: amitriptyline (1.6 times the normal dose),1
CYP2D6 ultra-rapid metabolisers (UM),Clomipramine,alternative medication is recommended for clomipramine prescribed for anxiety and OCD,1
CYP2D6 ultra-rapid metabolisers (UM),Doxepin,require tailored dose adjustments: doxepin (2 times),1
CYP2D6 ultra-rapid metabolisers (UM),Imipramine,potential safety concerns,1
CYP2D6 ultra-rapid metabolisers (UM),Nortriptyline,require tailored dose adjustments: nortriptyline (1.7 times),1
CYP2C19 poor metabolisers (PM),Imipramine,a 70% dose reduction is advised for imipramine,1
CYP2C19 ultra-rapid metabolisers (UM),Clomipramine,alternative medication is recommended for clomipramine prescribed for anxiety and OCD,1
Cannabidiol,First four lines of treatment for chronic myeloid leukaemia (major substrates of cytochrome 3A4),"...There is a risk of drug-drug interaction/herb-drug interaction, even at low doses.",1
Cannabidiol,"First four lines of treatment for chronic myeloid leukaemia (major substrates of cytochrome 2C19, 2B6, 2D6, 2C9, 2C8 and 1A2)","High-dose cannabidiol is a weak inhibitor of cytochromes 2C19, 2B6, 2D6, 2C9, 2C8 and 1A2...",1
Cannabidiol,UGT1A9 and 2B7,High-dose cannabidiol is a weak inhibitor of UGT1A9 and 2B7...,1
Cannabidiol (lower doses),First four lines of treatment for chronic myeloid leukaemia,Case reports complement these elements by reporting clinically significant inhibition when lower doses are used.,1
Cannabidiol,First four lines of treatment for chronic myeloid leukaemia,"There is a risk of drug-drug interaction/herb-drug interaction, even at low doses.",1
Cannabidiol,None specified,The use of cannabidiol is strongly discouraged.,1
Amiodarone,Apixaban,"Amiodarone, a weak CYP3A4 and moderate P-gp inhibitor, has the potential to reduce the clearance of these factor Xa (FXa) inhibitors.",1
Amiodarone,Rivaroxaban,"Amiodarone, a weak CYP3A4 and moderate P-gp inhibitor, has the potential to reduce the clearance of these factor Xa (FXa) inhibitors.",1
Apixaban,Amiodarone,Four patients prescribed apixaban with amiodarone had INRs greater than or equal to 3,1
Xihuang pill (XHP),temozolomide (TMZ),XHP and TMZ demonstrated a synergistic effect in GECs.,0
rifampin,fipaxalparant,A single rifampin 600 mg dose caused 1.48-fold and 1.86-fold increases in fipaxalparant Cmax,1
EZA (Enzalutamide),ENG (Elastin Nanogel),"The EZA + ENG group demonstrated reduced toxicity relative to free-form EZA across both phenotypic and molecular parameters, suggesting improved biocompatibility and potential for safer drug delivery.",1
bedaquiline,pretomanid,"Both modeling methods identified consistent interaction patterns, including antagonistic interactions when bedaquiline was combined with either pretomanid or linezolid.",1
bedaquiline,linezolid,"Both modeling methods identified consistent interaction patterns, including antagonistic interactions when bedaquiline was combined with either pretomanid or linezolid.",1
pyrazinamide,bedaquiline,Pyrazinamide has emerged as the most effective companion for both bedaquiline and pretomanid.,1
pyrazinamide,pretomanid,Pyrazinamide has emerged as the most effective companion for both bedaquiline and pretomanid.,1
Letrozole,Abemaciclib,"Letrozole demonstrated direct inhibition of CYP3A4, reducing the formation of abemaciclib's main metabolites.",1
Abemaciclib metabolites (N-desethylabemaciclib and hydroxyabemaciclib),CYP3A4,"Additionally, abemaciclib metabolites further inhibited CYP3A4...",0
Abemaciclib,Letrozole,"This study highlights significant interactions between abemaciclib and letrozole, particularly their combined inhibitory effects on CYP3A4.",1
tirzepatide,lithium,"Although many other medications seem to be at risk for decreased absorption, tirzepatide may enhance the absorption of lithium.",1
NYX-783,Oxycodone,NYX-783 reduced oxycodone's calmative effects (p < .0005),1
Loperamide,CYP or P-gp inhibitors,Increasing case reports have described exaggerated peripheral opioid effects and cardiac toxicities when ultra-high doses (> 70 mg) of loperamide are consumed alone and with CYP or P-gp inhibitors.,1
nimodipine,polysorbate 80,Mechanistic investigations using rat liver microsomes demonstrated that polysorbate 80 competitively inhibited nimodipine metabolism with an IC,1
Rifampin,CYP Induction,finding alternatives to rifampin for CYP induction and Organic Anion Transporting polypeptide 1B (OATP1B) inhibition due to nitrosamine: reduced and non-selective induction by drugs like carbamazepine and phenytoin or non-selective OATP inhibition by cyclosporine,1
Carbamazepine,CYP Induction,finding alternatives to rifampin for CYP induction and Organic Anion Transporting polypeptide 1B (OATP1B) inhibition due to nitrosamine: reduced and non-selective induction by drugs like carbamazepine and phenytoin or non-selective OATP inhibition by cyclosporine,1
Phenytoin,CYP Induction,finding alternatives to rifampin for CYP induction and Organic Anion Transporting polypeptide 1B (OATP1B) inhibition due to nitrosamine: reduced and non-selective induction by drugs like carbamazepine and phenytoin or non-selective OATP inhibition by cyclosporine,1
Cyclosporine,OATP Inhibition,finding alternatives to rifampin for CYP induction and Organic Anion Transporting polypeptide 1B (OATP1B) inhibition due to nitrosamine: reduced and non-selective induction by drugs like carbamazepine and phenytoin or non-selective OATP inhibition by cyclosporine,1
Tacrolimus,Hypoglycaemic drugs,Tacrolimus combining hypoglycaemic drugs would induce hyperglycaemia,1
Tacrolimus,Pachymic acid,"Tacrolimus significantly increased the blood glucose of rats, and pachymic acid increased Cmax of tacrolimus",1
Fexinidazole,Midazolam,"Contrary to the in vitro predictions, fexinidazole significantly reduced midazolam exposure in vivo, resulting in a reduction of 39% in C",1
Fexinidazole,CYP3A4/5 substrates,"Thus, it is suggested to update the product information by including the potential for CYP3A4/5 induction in vitro, removing the risk of CYP3A4 inhibition in vivo, and adding clinical interaction data highlighting the risk of induction on drugs predominantly metabolised by CYP3A4/5.",1
Fexinidazole,CYP3A4 substrates,In vitro studies have shown that fexinidazole inhibits and weakly induces CYP3A4/5.,1
Rifampicin,Praziquantel,A 4-week washout period after rifampicin discontinuation is critical before praziquantel administration.,1
Triazoles,Vinca Alkaloids (VAs),More patients experienced severe neurotoxicity when treated with the combination of triazoles and VAs than with VAs monotherapy.,1
lorazepam,warfarin,"The patient was discharged with a plan for close INR monitoring. Following the initiation of lorazepam and olanzapine for a comorbid psychiatric condition, he re-presented with bleeding manifestations due to warfarin overdose.",1
